,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,topic,Cluster
Doc115,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc116,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc117,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc118,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc119,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc120,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc121,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc122,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc123,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc124,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc125,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc126,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc127,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc128,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc129,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc130,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc131,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc132,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc133,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc134,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc135,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc136,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc137,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc138,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc139,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc140,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc141,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc142,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc143,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc144,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc145,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc146,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc147,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc148,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc149,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc150,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc151,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc152,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc153,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc154,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc155,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc156,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc157,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc158,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc159,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc160,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc161,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc162,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc163,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc164,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc165,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc166,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc167,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc168,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc169,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc170,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc171,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc172,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc173,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc174,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc175,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc176,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc177,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc178,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc179,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc180,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc181,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc182,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc183,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc184,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc185,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc186,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc187,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc188,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc189,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc190,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc191,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc192,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc193,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc194,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc195,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc196,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc197,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc198,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc199,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc200,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc201,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc202,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc203,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc204,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc205,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc206,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc207,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc208,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc209,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc210,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc211,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc212,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc213,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc214,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc215,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc216,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc217,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc218,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc219,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc220,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc221,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc222,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc223,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc224,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc225,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc226,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc227,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc228,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc229,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc230,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc231,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc232,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc233,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc234,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc235,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc236,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc237,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc238,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc239,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc240,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc241,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc242,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc243,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc244,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc245,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc246,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc247,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc248,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc249,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc250,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc251,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc252,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc253,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc254,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc255,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc256,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc257,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc258,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc259,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc260,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc261,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc262,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc263,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc264,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc265,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc266,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc267,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc268,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc269,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc270,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc271,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc272,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc273,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc274,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc275,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc276,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc277,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc278,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc279,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc280,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc281,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc282,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc283,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc284,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc285,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc286,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc287,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc288,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc289,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc290,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc291,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc292,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc293,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc294,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc295,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc296,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc297,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc298,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc299,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc300,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc301,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc302,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc303,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc304,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc305,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc306,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc307,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc308,0.01,0.01,0.97,0.01,0.01,0.01,0.01,2,Cluster 2
Doc309,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc310,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc311,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc312,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc313,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc314,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc315,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc316,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc317,0.01,0.01,0.96,0.01,0.01,0.01,0.01,2,Cluster 2
Doc318,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc319,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc320,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc321,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc322,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc323,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc324,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc325,0.0,0.0,0.97,0.0,0.0,0.0,0.0,2,Cluster 2
Doc326,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc327,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc328,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
Doc329,0.0,0.0,0.98,0.0,0.0,0.0,0.0,2,Cluster 2
