,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 770,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 771,0.77,0.02,0.02,0.02,0.15,0.02,0.02,Topic 0,Cluster 1
Doc 772,0.02,0.02,0.02,0.83,0.09,0.02,0.02,Topic 3,Cluster 0
Doc 773,0.01,0.01,0.92,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 774,0.01,0.01,0.56,0.01,0.37,0.01,0.01,Topic 2,Cluster 0
Doc 775,0.02,0.02,0.02,0.02,0.91,0.02,0.02,Topic 4,Cluster 0
Doc 776,0.01,0.01,0.01,0.01,0.74,0.19,0.01,Topic 4,Cluster 0
Doc 777,0.01,0.01,0.01,0.01,0.93,0.01,0.01,Topic 4,Cluster 0
Doc 778,0.79,0.02,0.02,0.02,0.11,0.02,0.02,Topic 0,Cluster 0
Doc 779,0.01,0.01,0.82,0.01,0.13,0.01,0.01,Topic 2,Cluster 0
Doc 780,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 781,0.06,0.02,0.02,0.02,0.85,0.02,0.02,Topic 4,Cluster 0
Doc 782,0.91,0.02,0.02,0.02,0.02,0.02,0.02,Topic 0,Cluster 1
Doc 783,0.02,0.02,0.02,0.02,0.91,0.02,0.02,Topic 4,Cluster 0
Doc 784,0.55,0.01,0.01,0.01,0.38,0.01,0.01,Topic 0,Cluster 1
Doc 785,0.01,0.01,0.01,0.92,0.01,0.01,0.01,Topic 3,Cluster 0
Doc 786,0.02,0.01,0.01,0.01,0.73,0.2,0.01,Topic 4,Cluster 1
Doc 787,0.24,0.01,0.01,0.01,0.23,0.48,0.01,Topic 5,Cluster 0
Doc 788,0.01,0.01,0.67,0.01,0.26,0.01,0.01,Topic 2,Cluster 1
Doc 789,0.03,0.02,0.02,0.02,0.88,0.02,0.02,Topic 4,Cluster 0
Doc 790,0.01,0.01,0.01,0.02,0.91,0.02,0.01,Topic 4,Cluster 0
Doc 791,0.14,0.01,0.01,0.01,0.56,0.26,0.01,Topic 4,Cluster 0
Doc 792,0.01,0.01,0.01,0.01,0.63,0.3,0.01,Topic 4,Cluster 0
Doc 793,0.01,0.01,0.01,0.92,0.01,0.01,0.01,Topic 3,Cluster 0
Doc 794,0.01,0.77,0.01,0.01,0.18,0.01,0.01,Topic 1,Cluster 1
Doc 795,0.06,0.02,0.02,0.02,0.85,0.02,0.02,Topic 4,Cluster 0
Doc 796,0.01,0.01,0.01,0.01,0.76,0.16,0.01,Topic 4,Cluster 0
Doc 797,0.69,0.01,0.02,0.04,0.2,0.01,0.01,Topic 0,Cluster 1
Doc 798,0.01,0.01,0.01,0.55,0.38,0.01,0.01,Topic 3,Cluster 0
Doc 799,0.16,0.01,0.01,0.01,0.46,0.32,0.01,Topic 4,Cluster 0
Doc 800,0.01,0.01,0.94,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 801,0.01,0.78,0.01,0.01,0.16,0.01,0.01,Topic 1,Cluster 1
Doc 802,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 803,0.02,0.02,0.02,0.2,0.69,0.02,0.02,Topic 4,Cluster 0
Doc 804,0.01,0.01,0.93,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 805,0.02,0.02,0.02,0.02,0.85,0.02,0.02,Topic 4,Cluster 0
Doc 806,0.01,0.01,0.61,0.01,0.33,0.01,0.01,Topic 2,Cluster 1
Doc 807,0.01,0.01,0.92,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 808,0.16,0.01,0.05,0.05,0.71,0.01,0.01,Topic 4,Cluster 0
Doc 809,0.01,0.01,0.93,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 810,0.01,0.01,0.01,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 811,0.02,0.02,0.02,0.02,0.9,0.02,0.02,Topic 4,Cluster 0
Doc 812,0.03,0.01,0.03,0.01,0.89,0.01,0.01,Topic 4,Cluster 0
Doc 813,0.02,0.02,0.02,0.86,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 814,0.01,0.01,0.01,0.08,0.85,0.01,0.01,Topic 4,Cluster 0
Doc 815,0.04,0.01,0.01,0.01,0.84,0.07,0.01,Topic 4,Cluster 0
Doc 816,0.02,0.02,0.02,0.02,0.89,0.02,0.02,Topic 4,Cluster 0
Doc 817,0.01,0.01,0.01,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 818,0.01,0.01,0.83,0.01,0.11,0.01,0.01,Topic 2,Cluster 0
Doc 819,0.92,0.01,0.01,0.01,0.01,0.01,0.01,Topic 0,Cluster 1
Doc 820,0.01,0.01,0.79,0.01,0.16,0.01,0.01,Topic 2,Cluster 1
Doc 821,0.02,0.02,0.02,0.02,0.02,0.85,0.02,Topic 5,Cluster 0
Doc 822,0.02,0.02,0.02,0.88,0.02,0.02,0.02,Topic 3,Cluster 0
Doc 823,0.01,0.01,0.03,0.01,0.91,0.01,0.01,Topic 4,Cluster 0
Doc 824,0.01,0.01,0.93,0.01,0.01,0.01,0.01,Topic 2,Cluster 0
Doc 825,0.03,0.02,0.02,0.01,0.89,0.01,0.01,Topic 4,Cluster 0
Doc 826,0.58,0.01,0.01,0.01,0.35,0.01,0.01,Topic 0,Cluster 1
Doc 827,0.01,0.01,0.69,0.01,0.25,0.01,0.01,Topic 2,Cluster 0
Doc 828,0.01,0.79,0.01,0.01,0.15,0.01,0.01,Topic 1,Cluster 1
Doc 829,0.01,0.75,0.01,0.01,0.2,0.01,0.01,Topic 1,Cluster 1
