,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Dominant topic,Cluster
Doc 27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 28,0.0,0.0,0.06,0.93,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 29,0.0,0.0,0.0,0.0,0.55,0.0,0.45,Topic 4,Cluster 1
Doc 30,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 31,0.0,0.0,0.99,0.0,0.0,0.01,0.0,Topic 2,Cluster 1
Doc 32,0.0,0.0,0.99,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 33,0.0,0.0,0.95,0.0,0.04,0.0,0.0,Topic 2,Cluster 1
Doc 34,0.0,0.0,0.0,0.0,0.8,0.19,0.0,Topic 4,Cluster 1
Doc 35,0.0,0.0,0.0,0.0,0.01,0.98,0.0,Topic 5,Cluster 1
Doc 36,0.0,0.0,0.0,0.0,0.65,0.35,0.0,Topic 4,Cluster 1
Doc 37,0.13,0.0,0.06,0.0,0.14,0.67,0.0,Topic 5,Cluster 1
Doc 38,0.17,0.0,0.0,0.81,0.0,0.02,0.0,Topic 3,Cluster 1
Doc 39,0.63,0.0,0.0,0.0,0.0,0.0,0.37,Topic 0,Cluster 1
Doc 40,0.0,0.87,0.13,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 41,0.04,0.0,0.0,0.95,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 42,0.18,0.0,0.0,0.0,0.81,0.0,0.0,Topic 4,Cluster 1
Doc 43,0.71,0.12,0.0,0.11,0.0,0.0,0.06,Topic 0,Cluster 1
Doc 44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 46,0.0,0.0,0.38,0.09,0.53,0.0,0.0,Topic 4,Cluster 1
Doc 47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 3
Doc 49,0.02,0.0,0.0,0.0,0.0,0.97,0.0,Topic 5,Cluster 1
Doc 50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 51,0.0,0.0,0.0,0.0,0.16,0.84,0.0,Topic 5,Cluster 1
Doc 52,0.0,0.0,0.08,0.92,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 53,0.0,0.0,0.5,0.5,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 54,0.0,0.0,0.68,0.06,0.22,0.03,0.0,Topic 2,Cluster 1
Doc 55,0.0,0.0,0.78,0.21,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 56,0.2,0.0,0.16,0.0,0.0,0.31,0.33,Topic 6,Cluster 1
Doc 57,0.0,0.0,0.0,0.0,0.99,0.0,0.0,Topic 4,Cluster 1
Doc 58,0.03,0.0,0.0,0.0,0.03,0.0,0.93,Topic 6,Cluster 1
Doc 59,0.0,0.0,0.3,0.0,0.0,0.69,0.0,Topic 5,Cluster 1
Doc 60,0.12,0.0,0.0,0.87,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Topic 5,Cluster 1
Doc 62,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 63,0.0,0.0,0.0,0.0,0.0,0.0,0.98,Topic 6,Cluster 1
Doc 64,0.63,0.0,0.29,0.08,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 3
Doc 66,0.0,0.0,0.0,0.0,0.99,0.0,0.0,Topic 4,Cluster 1
Doc 67,0.52,0.0,0.48,0.0,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 70,0.04,0.0,0.0,0.95,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 71,0.0,0.01,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 72,0.0,0.99,0.0,0.0,0.0,0.01,0.0,Topic 1,Cluster 1
Doc 73,0.45,0.0,0.0,0.0,0.0,0.55,0.0,Topic 5,Cluster 1
Doc 74,0.0,0.0,0.79,0.21,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 75,0.66,0.02,0.0,0.2,0.12,0.0,0.0,Topic 0,Cluster 1
Doc 76,0.01,0.01,0.01,0.01,0.95,0.01,0.01,Topic 4,Cluster 1
Doc 77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 1
Doc 78,0.0,0.0,0.8,0.0,0.2,0.0,0.0,Topic 2,Cluster 1
Doc 79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Topic 6,Cluster 1
Doc 80,0.86,0.14,0.0,0.0,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 81,0.0,0.0,0.96,0.0,0.04,0.0,0.0,Topic 2,Cluster 1
Doc 82,0.0,0.0,0.0,0.12,0.88,0.0,0.0,Topic 4,Cluster 1
Doc 83,0.38,0.0,0.24,0.38,0.0,0.0,0.0,Topic 0,Cluster 1
Doc 84,0.0,0.0,0.0,0.0,0.05,0.0,0.94,Topic 6,Cluster 1
Doc 85,0.21,0.0,0.22,0.0,0.0,0.56,0.0,Topic 5,Cluster 1
Doc 86,0.19,0.24,0.57,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 87,0.0,0.0,0.0,0.0,0.98,0.0,0.0,Topic 4,Cluster 1
Doc 88,0.0,0.0,0.0,0.0,0.02,0.69,0.28,Topic 5,Cluster 1
Doc 89,0.9,0.0,0.0,0.0,0.0,0.0,0.09,Topic 0,Cluster 1
Doc 90,0.0,0.0,0.72,0.28,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 91,0.0,0.0,0.0,0.92,0.0,0.0,0.07,Topic 3,Cluster 1
Doc 92,0.0,0.0,0.0,0.13,0.22,0.64,0.0,Topic 5,Cluster 1
Doc 93,0.0,0.0,0.32,0.4,0.09,0.19,0.0,Topic 3,Cluster 1
Doc 94,0.0,0.0,0.0,0.0,0.15,0.85,0.0,Topic 5,Cluster 1
Doc 95,0.0,0.1,0.0,0.05,0.85,0.0,0.0,Topic 4,Cluster 1
Doc 96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Topic 2,Cluster 1
Doc 97,0.0,0.0,0.0,0.99,0.0,0.0,0.0,Topic 3,Cluster 1
Doc 98,0.0,0.0,0.0,0.0,0.0,0.0,0.98,Topic 6,Cluster 1
Doc 99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Topic 1,Cluster 3
